Algorithm,Alpha,Attack Type,Parameter,RecovBER
DCT(O),0.06,Resize 50%,0.5,0.515625
DCT(O),0.06,Salt&Pepper 1%,0.01,0
DCT(O),0.06,Salt&Pepper 5%,0.05,0
DCT(O),0.06,Quantize (32 levels),32,0
DCT(O),0.06,Gamma 0.8,0.8,0
DCT(O),0.06,Brightness +0.2,0.2,0
DCT(O),0.06,Rotation 1 deg,1,0.421875
DCT(O),0.06,Rotation 5 deg,5,0.4375
DCT(O),0.06,Rotation 45 deg,45,0.484375
DWT(O),0.06,No Attack,0,0
DWT(O),0.06,Crop 50%,0.5,0.5625
DWT(O),0.06,Crop 70%,0.7,0.234375
DWT(O),0.06,Resize 50%,0.5,0
DWT(O),0.06,Salt&Pepper 1%,0.01,0
DWT(O),0.06,Salt&Pepper 5%,0.05,0
DWT(O),0.06,Quantize (32 levels),32,0.015625
DWT(O),0.06,Gamma 0.8,0.8,0
DWT(O),0.06,Brightness +0.2,0.2,0
DWT(O),0.06,Rotation 1 deg,1,0.5625
DWT(O),0.06,Rotation 5 deg,5,0.5625
DWT(O),0.06,Rotation 45 deg,45,0.5625
DFT(O),0.06,No Attack,0,0
DFT(O),0.06,Crop 50%,0.5,0.5625
DFT(O),0.06,Crop 70%,0.7,0.21875
DFT(O),0.06,Resize 50%,0.5,0.5625
DFT(O),0.06,Salt&Pepper 1%,0.01,0
DFT(O),0.06,Salt&Pepper 5%,0.05,0.4375
DFT(O),0.06,Quantize (32 levels),32,0.375
DFT(O),0.06,Gamma 0.8,0.8,0
DFT(O),0.06,Brightness +0.2,0.2,0
DFT(O),0.06,Rotation 1 deg,1,0.453125
DFT(O),0.06,Rotation 5 deg,5,0.4375
DFT(O),0.06,Rotation 45 deg,45,0.4375
DCT(L),0.08,No Attack,0,0.015625
DCT(L),0.08,Crop 50%,0.5,0.203125
DCT(L),0.08,Crop 70%,0.7,0.109375
DCT(L),0.08,Resize 50%,0.5,0.4375
DCT(L),0.08,Salt&Pepper 1%,0.01,0.4375
DCT(L),0.08,Salt&Pepper 5%,0.05,0.4375
DCT(L),0.08,Quantize (32 levels),32,0.4375
DCT(L),0.08,Gamma 0.8,0.8,0.4375
DCT(L),0.08,Brightness +0.2,0.2,0.015625
DCT(L),0.08,Rotation 1 deg,1,0.4375
DCT(L),0.08,Rotation 5 deg,5,0.4375
DCT(L),0.08,Rotation 45 deg,45,0.4375
DWT(L),0.08,No Attack,0,0.015625
DWT(L),0.08,Crop 50%,0.5,0.4375
DWT(L),0.08,Crop 70%,0.7,0.390625
DWT(L),0.08,Resize 50%,0.5,0.4375
DWT(L),0.08,Salt&Pepper 1%,0.01,0.03125
DWT(L),0.08,Salt&Pepper 5%,0.05,0.28125
DWT(L),0.08,Quantize (32 levels),32,0.28125
DWT(L),0.08,Gamma 0.8,0.8,0.40625
DWT(L),0.08,Brightness +0.2,0.2,0.015625
DWT(L),0.08,Rotation 1 deg,1,0.4375
DWT(L),0.08,Rotation 5 deg,5,0.4375
DWT(L),0.08,Rotation 45 deg,45,0.4375
SVD(S),0.08,No Attack,0,0
SVD(S),0.08,Crop 50%,0.5,0.5625
SVD(S),0.08,Crop 70%,0.7,0.234375
SVD(S),0.08,Resize 50%,0.5,0.5625
SVD(S),0.08,Salt&Pepper 1%,0.01,0
SVD(S),0.08,Salt&Pepper 5%,0.05,0
SVD(S),0.08,Quantize (32 levels),32,0.5625
SVD(S),0.08,Gamma 0.8,0.8,0.5625
SVD(S),0.08,Brightness +0.2,0.2,0.4375
SVD(S),0.08,Rotation 1 deg,1,0.46875
SVD(S),0.08,Rotation 5 deg,5,0.578125
SVD(S),0.08,Rotation 45 deg,45,0.5625
SVD(I),0.08,No Attack,0,0
SVD(I),0.08,Crop 50%,0.5,0.5625
SVD(I),0.08,Crop 70%,0.7,0.234375
SVD(I),0.08,Resize 50%,0.5,0.5625
SVD(I),0.08,Salt&Pepper 1%,0.01,0
SVD(I),0.08,Salt&Pepper 5%,0.05,0
SVD(I),0.08,Quantize (32 levels),32,0.5625
