Iteration,Algorithm,Resolution,GPU Time (ms),CPU Time (ms),PSNR (dB),SSIM
56,DCT (Legacy),FHD,0.22,1.09158,41.3293,13.8377,0.0721745
56,DCT (Legacy),FHD,0.221,1.0679,41.2483,13.8234,0.0718819
56,DCT (Legacy),FHD,0.222,1.06739,42.2226,13.8094,0.0715884
56,DCT (Legacy),FHD,0.223,1.66989,43.2676,13.7953,0.071302
57,DCT (Legacy),FHD,0.224,1.06765,41.0592,13.7814,0.0710178
57,DCT (Legacy),FHD,0.225,1.08016,43.2709,13.7677,0.070739
57,DCT (Legacy),FHD,0.226,1.06883,43.8347,13.7541,0.0704659
57,DCT (Legacy),FHD,0.227,1.0665,41.9423,13.7405,0.0701918
58,DCT (Legacy),FHD,0.228,1.06608,42.3638,13.7271,0.0699227
58,DCT (Legacy),FHD,0.229,1.06938,43.3174,13.714,0.0696543
58,DCT (Legacy),FHD,0.23,1.06922,43.1523,13.7007,0.069391
58,DCT (Legacy),FHD,0.231,1.06643,42.8462,13.6877,0.0691325
59,DCT (Legacy),FHD,0.232,1.06707,41.4246,13.6747,0.0688758
59,DCT (Legacy),FHD,0.233,1.06736,41.5399,13.6619,0.0686212
59,DCT (Legacy),FHD,0.234,1.06701,51.0491,13.6491,0.0683725
59,DCT (Legacy),FHD,0.235,1.07059,40.8012,13.6365,0.0681224
60,DCT (Legacy),FHD,0.236,1.06819,41.0881,13.6241,0.0678787
60,DCT (Legacy),FHD,0.237,1.06701,42.076,13.6116,0.0676334
60,DCT (Legacy),FHD,0.238,1.06691,42.3282,13.5992,0.0673903
60,DCT (Legacy),FHD,0.239,1.06906,41.6455,13.587,0.06715
61,DCT (Legacy),FHD,0.24,1.0703,43.2856,13.575,0.0669162
61,DCT (Legacy),FHD,0.241,1.06906,43.0994,13.5629,0.0666831
61,DCT (Legacy),FHD,0.242,1.07674,41.2325,13.551,0.066456
61,DCT (Legacy),FHD,0.243,1.68147,42.0407,13.539,0.0662262
