Iteration,Algorithm,Resolution,ALPHA,GPU Time (ms),CPU Time (ms),PSNR (dB),SSIM
59,DCT (Legacy),FHD,0.235,1.06355,173.76,13.6365,0.0681224
60,DCT (Legacy),FHD,0.236,1.06291,170.973,13.6241,0.0678787
60,DCT (Legacy),FHD,0.237,1.05472,167.68,13.6116,0.0676334
60,DCT (Legacy),FHD,0.238,1.06333,168.673,13.5992,0.0673903
60,DCT (Legacy),FHD,0.239,1.06298,167.887,13.587,0.06715
61,DCT (Legacy),FHD,0.24,1.07251,162.974,13.575,0.0669162
61,DCT (Legacy),FHD,0.241,1.08749,175.931,13.5629,0.0666831
61,DCT (Legacy),FHD,0.242,1.06291,164.314,13.551,0.066456
61,DCT (Legacy),FHD,0.243,1.06304,161.728,13.539,0.0662262
62,DCT (Legacy),FHD,0.244,1.06432,170.052,13.5275,0.0659988
62,DCT (Legacy),FHD,0.245,1.0535,164.913,13.5157,0.0657786
62,DCT (Legacy),FHD,0.246,1.05309,167.282,13.5041,0.0655597
62,DCT (Legacy),FHD,0.247,1.06915,164.259,13.4927,0.0653392
63,DCT (Legacy),FHD,0.248,1.06483,167.109,13.4814,0.0651216
63,DCT (Legacy),FHD,0.249,1.06291,164.153,13.4702,0.0649066
63,DCT (Legacy),FHD,0.25,1.06291,169.166,13.4588,0.0646946
63,DCT (Legacy),FHD,0.251,1.08134,166.181,13.4478,0.0644836
64,DCT (Legacy),FHD,0.252,1.06426,164.35,13.4367,0.0642753
64,DCT (Legacy),FHD,0.253,1.06496,169.298,13.4257,0.0640668
64,DCT (Legacy),FHD,0.254,1.06326,163.796,13.4149,0.0638643
64,DCT (Legacy),FHD,0.255,2.52006,169.343,13.4042,0.0636632
65,DCT (Legacy),FHD,0.256,1.52176,171.423,13.3933,0.0634643
65,DCT (Legacy),FHD,0.257,1.06301,163.594,13.3828,0.06327
65,DCT (Legacy),FHD,0.258,1.06426,163.562,13.3723,0.0630785
